Trial,P(A=1),P(B=1),P(C=1),P(D=1),P(A=1|C=1),P(A=1|do(C=1)),"P(A_C=1=1|A=1,C=1)"
1,0.0639,0.4927,0.5036,0.4989,0.06254964257347101,0.0639,0.49295774647887325
2,0.0632,0.4933,0.5029,0.5081,0.06303440047723205,0.0632,0.5015822784810126
3,0.0637,0.5084,0.4928,0.5044,0.06290584415584416,0.0637,0.4866562009419152
4,0.0591,0.5003,0.5021,0.5013,0.05696076478789086,0.0591,0.48392554991539766
5,0.0641,0.4921,0.4964,0.5031,0.06426269137792102,0.0641,0.4976599063962558
6,0.0574,0.496,0.5028,0.5001,0.05767700875099443,0.0574,0.505226480836237
7,0.0603,0.4965,0.4913,0.5053,0.061062487278648485,0.0603,0.4975124378109453
8,0.0641,0.4991,0.4985,0.5132,0.06579739217652959,0.0641,0.5117004680187207
9,0.06,0.5025,0.5108,0.495,0.06284259984338293,0.06,0.5349999999999999
10,0.0632,0.4954,0.5072,0.5038,0.061908517350157725,0.0632,0.4968354430379746
11,0.0643,0.4941,0.4885,0.5086,0.06264073694984647,0.0643,0.4758942457231726
12,0.065,0.501,0.4935,0.4906,0.06666666666666667,0.065,0.5061538461538461
13,0.0583,0.5022,0.4966,0.5042,0.05759162303664921,0.0583,0.49056603773584906
14,0.063,0.4945,0.4948,0.4985,0.06325788197251414,0.063,0.49682539682539684
15,0.0663,0.4886,0.5012,0.4944,0.06484437350359137,0.0663,0.4901960784313726
16,0.0634,0.4982,0.4981,0.5045,0.063641838988155,0.0634,0.5
17,0.0608,0.4933,0.5037,0.5014,0.0631328171530673,0.0608,0.5230263157894737
18,0.0618,0.5016,0.5083,0.5026,0.06433208734999016,0.0618,0.529126213592233
19,0.0662,0.4918,0.5066,0.5004,0.06573233320173708,0.0662,0.5030211480362539
20,0.0598,0.4921,0.4982,0.5007,0.060216780409474105,0.0598,0.5016722408026756
21,0.0623,0.5076,0.4993,0.5046,0.0628880432605648,0.0623,0.5040128410914927
22,0.0629,0.4937,0.4942,0.5029,0.06434641845406718,0.0629,0.5055643879173292
23,0.0592,0.5022,0.4998,0.4934,0.05742296918767507,0.0592,0.48479729729729726
24,0.0623,0.4994,0.4905,0.4995,0.06075433231396534,0.0623,0.478330658105939
25,0.0598,0.4907,0.4995,0.5038,0.05945945945945946,0.0598,0.49665551839464883
26,0.0639,0.5045,0.4975,0.4966,0.06170854271356784,0.0639,0.4804381846635368
27,0.0599,0.4963,0.4964,0.4919,0.061442385173247384,0.0599,0.5091819699499165
28,0.0623,0.4891,0.4954,0.4989,0.0621719822365765,0.0623,0.4943820224719101
29,0.0627,0.5059,0.4913,0.4957,0.05800936291471606,0.0627,0.45454545454545453
30,0.0625,0.5051,0.5054,0.5049,0.05955678670360111,0.0625,0.4816
31,0.0597,0.4967,0.4983,0.5029,0.05699377884808349,0.0597,0.47571189279731996
32,0.0687,0.4961,0.4989,0.5067,0.0661455201443175,0.0687,0.480349344978166
33,0.0646,0.505,0.4942,0.4995,0.06616754350465398,0.0646,0.5061919504643962
34,0.0571,0.4956,0.4911,0.5069,0.06027285685196498,0.0571,0.5183887915936953
35,0.0621,0.5057,0.4969,0.5045,0.06480177098007647,0.0621,0.5185185185185185
36,0.0591,0.5023,0.499,0.5032,0.06092184368737475,0.0591,0.5143824027072758
37,0.0622,0.5035,0.4936,0.5035,0.060170178282009726,0.0622,0.477491961414791
38,0.0615,0.5004,0.5016,0.4963,0.05940988835725678,0.0615,0.4845528455284553
39,0.0632,0.5055,0.4983,0.5035,0.06361629540437487,0.0632,0.5015822784810126
40,0.0653,0.4966,0.5027,0.5015,0.06166699820966779,0.0653,0.4747320061255743
41,0.0632,0.4947,0.5027,0.4991,0.06425303361846031,0.0632,0.5110759493670886
42,0.065,0.4999,0.5052,0.501,0.06571654790182106,0.065,0.5107692307692308
43,0.0664,0.4957,0.5021,0.496,0.06731726747659829,0.0664,0.5090361445783131
44,0.0658,0.4975,0.4979,0.5041,0.06989355292227355,0.0658,0.5288753799392097
45,0.0622,0.4965,0.498,0.5009,0.061646586345381525,0.0622,0.4935691318327975
46,0.0616,0.4921,0.503,0.4987,0.062027833001988074,0.0616,0.5064935064935064
47,0.0599,0.4941,0.4985,0.4965,0.05897693079237713,0.0599,0.49081803005008345
48,0.0597,0.5013,0.4994,0.508,0.05887064477372848,0.0597,0.4924623115577889
49,0.0585,0.4976,0.4961,0.4963,0.05623866156016932,0.0585,0.4769230769230769
50,0.065,0.5016,0.4997,0.4967,0.06223734240544326,0.065,0.47846153846153844
51,0.0629,0.5059,0.498,0.5115,0.06265060240963856,0.0629,0.4960254372019078
52,0.0645,0.4937,0.498,0.4925,0.06325301204819277,0.0645,0.4883720930232558
53,0.0594,0.4986,0.4959,0.4997,0.05948779995966929,0.0594,0.4966329966329966
54,0.0588,0.4979,0.4992,0.5085,0.05829326923076923,0.0588,0.4948979591836735
55,0.0624,0.4984,0.5012,0.493,0.06324820430965683,0.0624,0.5080128205128205
56,0.0624,0.5033,0.5074,0.5081,0.06247536460386283,0.0624,0.5080128205128205
57,0.0651,0.5053,0.4962,0.4961,0.06549778315195486,0.0651,0.49923195084485406
58,0.0627,0.4966,0.5053,0.5078,0.0649119335048486,0.0627,0.5231259968102073
59,0.0639,0.4911,0.5019,0.5044,0.06535166367802352,0.0639,0.5133020344287951
60,0.0625,0.4974,0.497,0.4958,0.06579476861167002,0.0625,0.5232
61,0.0631,0.4991,0.496,0.4948,0.06491935483870968,0.0631,0.5103011093502376
62,0.0647,0.5001,0.5022,0.4962,0.06371963361210672,0.0647,0.49459041731066467
63,0.0638,0.5039,0.4974,0.5092,0.06473663047848814,0.0638,0.5047021943573669
64,0.0598,0.5042,0.5043,0.4988,0.06067816775728733,0.0598,0.5117056856187291
65,0.0635,0.5043,0.5055,0.5105,0.06607319485657764,0.0635,0.525984251968504
66,0.0628,0.5003,0.4915,0.5019,0.0624618514750763,0.0628,0.48885350318471343
67,0.0633,0.5025,0.4934,0.4988,0.05796513984596676,0.0633,0.45181674565560825
68,0.0637,0.4903,0.4963,0.5023,0.06649204110417087,0.0637,0.5180533751962323
69,0.0637,0.4969,0.4937,0.4964,0.06582945108365404,0.0637,0.5102040816326531
70,0.0591,0.5052,0.5103,0.5001,0.058788947677836566,0.0591,0.5076142131979695
71,0.0596,0.5075,0.4953,0.4952,0.06036745406824147,0.0596,0.5016778523489933
72,0.0607,0.4959,0.5049,0.507,0.059615765498118437,0.0607,0.4958813838550247
73,0.0621,0.5042,0.5061,0.4935,0.05927682276229994,0.0621,0.4830917874396135
74,0.0654,0.5023,0.501,0.5074,0.06047904191616767,0.0654,0.463302752293578
75,0.0604,0.4988,0.5038,0.4924,0.05954743946010321,0.0604,0.4966887417218543
76,0.061,0.5033,0.4979,0.4952,0.060654749949789116,0.061,0.49508196721311476
77,0.065,0.4991,0.5081,0.5071,0.06711277307616612,0.065,0.5246153846153846
